GEOID,mean_abs_shap_slope,mean_abs_shap_NDVI_pre,mean_abs_shap_tmmx_jja,mean_abs_shap_elev,mean_abs_shap_aspect
06001,0.5725167,0.44983995,0.20849597,0.49378574,0.3799291
06003,0.8816121,0.68314284,0.43874148,0.32837284,0.46410707
06005,0.36148816,0.3996751,0.4024307,0.48455083,0.35769367
06007,0.50019205,0.3146274,0.5568734,0.62663317,0.350028
06009,0.3343418,0.27100572,0.42050254,0.50331503,0.40722924
06011,0.5231892,0.4220571,0.5591002,0.5394735,0.32628834
06013,0.4670589,0.37579653,0.21854632,0.5765725,0.38702312
06015,0.6087274,1.0475546,0.20180587,0.44031468,0.4370815
06017,0.47595727,0.5093581,0.37159434,0.44563177,0.3666228
06019,0.9211748,0.43845946,0.65179664,0.37308046,0.27681643
06021,0.7555657,0.42347378,0.71386147,0.5105578,0.42715234
06023,0.7006027,1.0440376,0.23265739,0.4619517,0.49973837
06025,0.49825883,0.38673377,0.8449355,0.40402368,0.16706271
06027,1.3291097,0.5937334,0.5850262,0.29076752,0.35292357
06029,0.8629796,0.52026564,0.7757202,0.32291016,0.30025354
06031,0.8582521,0.35379997,0.82656455,0.42699727,0.22141217
06033,0.58667785,0.2912707,0.3835137,0.46316934,0.4326101
06035,0.69209,0.6868777,0.27644813,0.34263945,0.39429596
06037,0.6273316,0.5976042,0.36915174,0.42438635,0.26935822
06039,0.8349247,0.32334527,0.68057317,0.4650167,0.399874
06041,0.45464513,0.4493207,0.18610878,0.5615057,0.36583588
06043,0.5935541,0.2724789,0.65831894,0.42144892,0.35236952
06045,0.6290251,0.9036394,0.24763267,0.48504394,0.4894713
06047,0.5848528,0.31140694,0.5212359,0.6136691,0.37605855
06049,0.7795379,0.63673526,0.26679182,0.3084886,0.31947464
06051,1.0574183,0.7644687,0.35125214,0.29277667,0.456356
06053,0.60834336,0.31051847,0.29747045,0.4727371,0.4367987
06055,0.58100915,0.3499808,0.28807098,0.45236263,0.48218367
06057,0.43526766,0.5519044,0.39036128,0.47243538,0.40032795
06059,0.55439746,0.5059954,0.108322196,0.5117064,0.20656213
06061,0.5858249,0.52351797,0.32255596,0.4988478,0.45925733
06063,0.8139319,0.47415552,0.16192937,0.50014114,0.4573547
06065,0.7316235,0.566367,0.6837429,0.34314027,0.26549846
06067,0.631103,0.14812605,0.33346078,0.880158,0.41908938
06069,0.48614118,0.36604404,0.36634701,0.4641968,0.4728414
06071,0.5854523,0.59807044,0.8498704,0.28039432,0.25888488
06073,0.7848984,0.44739485,0.30771336,0.41101825,0.29296476
06075,0.58500403,0.743348,0.263975,0.7007414,0.25666425
06077,0.54023594,0.23524149,0.3266067,0.7856465,0.41739047
06079,0.40496942,0.5332588,0.3957058,0.43110058,0.3283384
06081,0.51638377,0.5381651,0.2604475,0.5680648,0.38158435
06083,0.5682006,0.3853392,0.27842274,0.44624296,0.32368943
06085,0.61822414,0.4301646,0.16604893,0.577322,0.5373573
06087,0.6442883,0.688537,0.19472529,0.55378586,0.37144253
06089,0.64143544,0.43694615,0.66574454,0.43773124,0.43265858
06091,0.7198804,0.65576595,0.23784295,0.43857202,0.47766387
06093,0.8993665,0.49127597,0.31630203,0.39010018,0.4500355
06095,0.49894977,0.33812088,0.32992077,0.8145717,0.43740916
06097,0.42601213,0.4621001,0.16016099,0.51503384,0.44758457
06099,0.46684217,0.35574782,0.39460555,0.7031515,0.45528808
06101,0.5775845,0.21677482,0.4135775,0.81054235,0.2560048
06103,0.56436235,0.22948745,0.7552567,0.4146012,0.40064752
06105,0.86095333,0.63160723,0.29440352,0.48413715,0.50132984
06107,0.9557932,0.3901048,0.5984384,0.36714414,0.32296985
06109,0.62268513,0.473055,0.43666044,0.39919105,0.36404365
06111,0.7566331,0.51492,0.14500819,0.46241948,0.35873756
06113,0.44745892,0.265846,0.45915627,0.6741149,0.4149138
06115,0.41974914,0.4570914,0.5330152,0.6419685,0.4041144
